Wage,Age,Club,League,Nation,Position,Apps,Caps
"6,760,000",25,West Ham,Premier League,BRA,Midfilder,155,35
"6,760,000",29,Crystal Palace,Premier League,CIV,Midfilder,411,26
"6,725,000",26,R. Madrid,La Liga,ESP,Midfilder,198,11
"6,706,000",32,AS Monaco,Ligue 1 Uber Eats,FRA,Forward,378,19
"6,665,000",19,R. Madrid,La Liga,FRA,Midfilder,102,3
"6,630,000",,Juventus,Serie A,ARG,Midfilder,461,122
"6,552,000",26,Liverpool,Premier League,BRA,Midfilder,132,22
"6,500,000",30,Aston Villa,Premier League,BRA,Midfilder,332,63
"6,500,000",30,West Ham,Premier League,ENG,Forward,311,3
"6,500,000",29,Liverpool,Premier League,ENG,Midfilder,255,35
"6,483,000",31,OGC Nice,Ligue 1 Uber Eats,WAL,Midfilder,354,75
"6,466,000",23,Barcelona,La Liga,URU,Defender,150,11
"6,466,000",18,Barcelona,La Liga,ESP,Midfilder,41,10
"6,448,000",24,RB Leipzig,Bundesliga,FRA,Midfilder,156,6
"6,448,000",,FC Bayern,Bundesliga,CMR,Forward,345,68
"6,388,000",32,Lazio,Serie A,ITA,Forward,384,55
"6,379,000",26,Capitoline,Serie A,ITA,Midfilder,201,23
"6,335,000",24,Milan,Serie A,ALG,Midfilder,184,40
"6,240,000",29,Everton,Premier League,MLI,Midfilder,278,2
"6,240,000",25,Nottm Forest,Premier League,ENG,Goalkeeper,149,1
"6,240,000",21,Chelsea,Premier League,FRA,Defender,106,0
"6,240,000",27,Everton,Premier League,COL,Defender,193,39
"6,240,000",22,Man City,Premier League,ENG,Forward,104,16
"6,240,000",24,Man UFC,Premier League,ARG,Defender,127,7
"6,240,000",29,LOSC,Ligue 1 Uber Eats,POR,Midfilder,233,29
"6,240,000",25,Arsenal,Premier League,UKR,Defender,132,52
"6,240,000",23,Arsenal,Premier League,NOR,Midfilder,242,43
"6,240,000",,West Ham,Premier League,FRA,Goalkeeper,220,3
"6,240,000",25,Arsenal,Premier League,BRA,Forward,212,56
"6,240,000",29,Aston Villa,Premier League,FRA,Defender,274,46
"6,240,000",,Leicester,Premier League,BEL,Midfilder,313,52
"6,240,000",28,Leicester,Premier League,POR,Defender,234,7
"6,240,000",35,Tottenham,Premier League,FRA,Goalkeeper,559,139
"6,240,000",21,Bayer 04,Bundesliga,ENG,Defender,78,3
"6,240,000",36,Liverpool,Premier League,ENG,Defender,601,61
"6,240,000",22,Newcastle,Premier League,SWE,Forward,165,37
"6,240,000",25,Parthenope,Serie A,FRA,Midfilder,165,7
"6,190,000",22,R. Madrid,La Liga,FRA,Midfilder,104,12
"6,141,000",,R. Madrid,La Liga,ESP,Forward,269,29
"6,069,000",30,Inter,Serie A,NED,Defender,358,57
"6,018,000",26,FC Bayern,Bundesliga,FRA,Defender,191,45
"6,014,000",26,Borussia Dortmund,Bundesliga,GER,Midfilder,267,38
"5,720,000",27,Arsenal,Premier League,BEL,Defender,290,19
"5,720,000",25,Leicester,Premier League,ENG,Midfilder,236,1
"5,720,000",28,Everton,Premier League,ENG,Goalkeeper,334,45
"5,720,000",30,Wolves,Premier League,ESP,Midfilder,372,22
"5,720,000",30,Arsenal,Premier League,ITA,Midfilder,395,44
"5,720,000",,Arsenal,Premier League,SCO,Defender,170,32
"5,720,000",23,Liverpool,Premier League,NED,Midfilder,131,7
"5,720,000",30,Man UFC,Premier League,ENG,Defender,204,27
"5,720,000",29,Arsenal,Premier League,SUI,Midfilder,383,104
"5,720,000",,Man City,Premier League,NED,Defender,182,27
"5,720,000",27,Tottenham,Premier League,DEN,Midfilder,287,58
"5,720,000",24,Chelsea,Premier League,ESP,Defender,190,1
"5,604,000",,OGC Nice,Ligue 1 Uber Eats,ENG,Midfilder,249,33
"5,604,000",34,Sevilla,La Liga,CRO,Midfilder,545,106
"5,588,000",29,A. Madrid,La Liga,CTA,Midfilder,307,13
"5,588,000",23,Milan,Serie A,ESP,Forward,81,1
"5,587,000",28,Parthenope,Serie A,POL,Midfilder,300,72
"5,587,000",28,Juventus,Serie A,ITA,Defender,186,7
"5,587,000",28,Inter,Serie A,ARG,Forward,250,17
"5,582,000",,A. Madrid,La Liga,FRA,Defender,229,27
"5,527,000",29,Real Hispalis,La Liga,FRA,Forward,248,25
"5,527,000",29,R. Madrid,La Liga,DOM,Forward,179,1
"5,527,000",26,R. Madrid,La Liga,ESP,Defender,198,4
"5,527,000",31,R. Madrid,La Liga,ESP,Defender,340,9
"5,460,000",27,OGC Nice,Ligue 1 Uber Eats,CIV,Forward,240,32
"5,380,000",33,A. Madrid,La Liga,BEL,Defender,446,124
"5,200,000",33,Bournemouth,Premier League,BRA,Goalkeeper,205,1
"5,200,000",20,Chelsea,Premier League,ENG,Midfilder,58,0
"5,200,000",34,Leicester,Premier League,NIR,Defender,378,98
"5,200,000",,Southampton,Premier League,ENG,Midfilder,312,11
"5,200,000",28,Tottenham,Premier League,ENG,Defender,286,45
"5,200,000",,Newcastle,Premier League,ENG,Goalkeeper,257,8
"5,200,000",24,Leicester,Premier League,ENG,Defender,141,1
"5,200,000",24,Man UFC,Premier League,ENG,Defender,132,0
"5,200,000",24,Leicester,Premier League,ENG,Midfilder,189,1
"5,200,000",19,OL,Ligue 1 Uber Eats,FRA,Defender,32,0
"5,200,000",,Newcastle,Premier League,ENG,Defender,361,37
"5,200,000",31,Wolves,Premier League,MEX,Forward,370,96
"5,200,000",26,Tottenham,Premier League,MLI,Midfilder,164,26
"5,200,000",26,Everton,Premier League,NGA,Midfilder,190,58
"5,200,000",24,Arsenal,Premier League,BRA,Defender,134,0
"5,200,000",35,Wolves,Premier League,POR,Midfilder,555,146
"5,200,000",24,Wolves,Premier League,POR,Midfilder,100,8
"5,200,000",29,Nottm Forest,Premier League,ENG,Midfilder,219,32
"5,200,000",29,Tottenham,Premier League,WAL,Defender,254,74
"5,200,000",30,Aston Villa,Premier League,ARG,Goalkeeper,152,17
"5,200,000",29,Aston Villa,Premier League,BRA,Defender,252,0
"5,200,000",27,West Ham,Premier League,FRA,Defender,265,11
"5,200,000",,Chelsea,Premier League,MAR,Midfilder,265,40
"5,200,000",29,Sevilla,La Liga,BRA,Defender,271,6
"5,200,000",25,Tottenham,Premier League,URU,Midfilder,207,49
"5,200,000",26,Villarreal,La Liga,ARG,Midfilder,183,39
"5,200,000",28,OM,Ligue 1 Uber Eats,CIV,Defender,137,46
"5,200,000",,Chelsea,Premier League,ENG,Midfilder,14,0
"5,200,000",31,Leeds,Premier League,ESP,Forward,342,27
"5,200,000",31,Barcelona,La Liga,ESP,Defender,303,9
"5,200,000",22,Aston Villa,Premier League,FRA,Midfilder,137,3
"5,173,000",,A. Bilbao,La Liga,ESP,Midfilder,388,2
"5,159,000",20,Borussia Dortmund,Bundesliga,GER,Forward,108,4
"5,159,000",34,Sampdoria,Serie A,VEN,Midfilder,410,118
"5,155,000",37,Chelsea,Premier League,BRA,Defender,481,109
"5,155,000",29,Borussia Dortmund,Bundesliga,GER,Defender,231,12
"5,112,000",27,Lazio,Serie A,SRB,Midfilder,272,34
"5,043,000",28,Milan,Serie A,FRA,Midfilder,217,1
"4,999,000",28,A. Madrid,La Liga,ARG,Midfilder,318,41
"4,974,000",,Parthenope,Serie A,NGA,Forward,127,23
"4,974,000",24,Capitoline,Serie A,ENG,Forward,208,11
"4,974,000",27,Parthenope,Serie A,MEX,Forward,272,58
"4,958,000",27,Tottenham,Premier League,FRA,Defender,239,15
"4,940,000",25,Liverpool,Premier League,ENG,Defender,115,11
"4,940,000",28,West Ham,Premier League,ITA,Defender,125,27
"4,940,000",25,West Ham,Premier League,GER,Defender,155,20
"4,931,000",,Bayer 04,Bundesliga,CZE,Forward,193,33
"4,793,000",27,Lazio,Serie A,ITA,Defender,244,12
"4,793,000",24,Fiorentina,Serie A,SRB,Defender,209,37
"4,793,000",29,Capitoline,Serie A,ITA,Defender,282,29
"4,793,000",28,Sassuolo,Serie A,ITA,Forward,313,24
"4,793,000",27,Inter,Serie A,SVK,Defender,298,54
"4,793,000",29,Capitoline,Serie A,ITA,Defender,204,20
"4,785,000",29,OM,Ligue 1 Uber Eats,FRA,Midfilder,363,5
"4,785,000",,Juventus,Serie A,ITA,Midfilder,179,24
"4,785,000",27,Capitoline,Serie A,ITA,Midfilder,211,27
