Wage,Age,Club,League,Nation,Position,Apps,Caps
"430,000",28,Almeria,La Liga,ESP,Midfilder,261,0
"430,000",24,Espanyol,La Liga,ESP,Defender,163,1
"430,000",24,Borussia M'gladbach,Bundesliga,FRA,Defender,11,0
"430,000",27,VfL Bochum,Bundesliga,PHI,Defender,181,2
"430,000",18,Hoffenheim,Bundesliga,GER,Midfilder,6,0
"430,000",24,FC Augsburg,Bundesliga,FIN,Midfilder,109,20
"428,000",29,Troyes,Ligue 1 Uber Eats,GUF,Defender,198,2
"428,000",29,Clermont,Ligue 1 Uber Eats,KOS,Midfilder,258,22
"428,000",23,Troyes,Ligue 1 Uber Eats,CAN,Forward,142,6
"428,000",34,Clermont,Ligue 1 Uber Eats,FRA,Midfilder,417,0
"427,000",28,FC Porto,Primiera Liga,POR,Defender,232,0
"426,000",22,Salernitana,Serie A,CHI,Forward,98,9
"426,000",26,Brianza,Serie A,BRA,Defender,171,0
"426,000",27,BRG,Primiera Liga,POR,Forward,280,4
"426,000",20,Montpellier,Ligue 1 Uber Eats,FRA,Midfilder,91,0
"421,000",24,Arouca,Primiera Liga,CIV,Midfilder,122,1
"421,000",25,Cremonese,Serie A,CHI,Midfilder,163,12
"420,000",20,FC Nantes,Ligue 1 Uber Eats,FRA,Defender,35,0
"417,000",30,RC Lens,Ligue 1 Uber Eats,CPV,Defender,186,13
"416,000",23,Wolves,Premier League,POR,Defender,43,0
"416,000",23,VTSC,Primiera Liga,IRL,Midfilder,60,0
"416,000",21,Angers SCO,Ligue 1 Uber Eats,SEN,Forward,28,4
"416,000",18,Brighton,Premier League,SWE,Midfilder,37,0
"416,000",20,FC Augsburg,Bundesliga,FRA,Forward,80,0
"415,000",31,Cadiz,La Liga,ESP,Midfilder,354,0
"415,000",20,Udinese,Serie A,SRB,Midfilder,42,0
"413,000",23,AS Monaco,Ligue 1 Uber Eats,FRA,Midfilder,111,0
"413,000",22,LOSC,Ligue 1 Uber Eats,POR,Defender,68,0
"412,000",22,Salernitana,Serie A,CRO,Defender,125,4
"412,000",35,Angers SCO,Ligue 1 Uber Eats,FRA,Midfilder,359,0
"412,000",31,SC Freiburg,Bundesliga,GER,Defender,234,0
"412,000",24,Valencia,La Liga,SUI,Defender,151,9
"412,000",29,Sporting CP,Primiera Liga,POR,Defender,133,0
"412,000",19,Valencia,La Liga,ESP,Defender,37,0
"411,000",21,Verona,Serie A,COL,Defender,45,0
"411,000",24,Montpellier,Ligue 1 Uber Eats,FRA,Midfilder,157,0
"410,000",30,Almeria,La Liga,BRA,Forward,267,0
"408,000",29,Mallorca,La Liga,ESP,Midfilder,283,0
"408,000",31,Mallorca,La Liga,FRA,Midfilder,209,5
"408,000",34,Mallorca,La Liga,ESP,Defender,412,0
"408,000",34,Mallorca,La Liga,ESP,Midfilder,494,0
"408,000",33,Girona,La Liga,COL,Defender,395,0
"408,000",35,Mallorca,La Liga,ESP,Forward,501,0
"405,000",29,Torino,Serie A,FRA,Defender,180,0
"404,000",28,Angers SCO,Ligue 1 Uber Eats,FRA,Forward,212,0
"403,000",28,SC Freiburg,Bundesliga,GER,Forward,296,0
"403,000",29,Valencia,La Liga,GLP,Defender,243,2
"403,000",22,BRG,Primiera Liga,ESP,Defender,144,0
"403,000",24,Real Hispalis,La Liga,ESP,Goalkeeper,101,0
"403,000",21,Villarreal,La Liga,ESP,Defender,99,0
"403,000",20,Vigo,La Liga,ESP,Midfilder,76,0
"401,000",30,BRG,Primiera Liga,BRA,Goalkeeper,214,0
"399,000",20,Elche,La Liga,ESP,Defender,42,0
"399,000",26,Elche,La Liga,ARG,Forward,207,1
"399,000",20,Bologna,Serie A,URU,Defender,44,0
"398,000",26,Toulouse FC,Ligue 1 Uber Eats,SUI,Midfilder,213,0
"398,000",25,Toulouse FC,Ligue 1 Uber Eats,DEN,Defender,104,0
"398,000",26,Toulouse FC,Ligue 1 Uber Eats,BRA,Forward,202,0
"398,000",21,Villarreal,La Liga,ESP,Forward,63,0
"397,000",28,Sampdoria,Serie A,ITA,Defender,337,0
"397,000",23,Parthenope,Serie A,ITA,Forward,130,1
"395,000",21,FC Lorient,Ligue 1 Uber Eats,FRA,Midfilder,86,0
"395,000",27,AJ Auxerre,Ligue 1 Uber Eats,SEN,Forward,264,23
"395,000",32,FC Lorient,Ligue 1 Uber Eats,FRA,Defender,392,0
"393,000",22,OL,Ligue 1 Uber Eats,BRA,Forward,24,0
"393,000",22,Empoli,Serie A,POL,Defender,90,3
"392,000",25,BRG,Primiera Liga,POR,Midfilder,162,0
"392,000",25,FC Porto,Primiera Liga,POR,Midfilder,114,0
"392,000",28,FC Porto,Primiera Liga,BRA,Goalkeeper,79,0
"392,000",23,Girona,La Liga,ESP,Midfilder,148,0
"392,000",24,Reims,Ligue 1 Uber Eats,NED,Forward,121,0
"390,000",19,Chelsea,Premier League,ENG,Defender,0,0
"390,000",18,Leicester,Premier League,ENG,Midfilder,1,0
"388,000",32,Atletico Pamplona,La Liga,ESP,Forward,415,0
"388,000",30,Atletico Pamplona,La Liga,ESP,Defender,236,0
"388,000",27,Atletico Pamplona,La Liga,ESP,Defender,216,0
"387,000",21,VfB Stuttgart,Bundesliga,FRA,Defender,60,0
"383,000",26,Almeria,La Liga,SRB,Defender,200,0
"383,000",20,Almeria,La Liga,MLI,Forward,65,13
"382,000",21,Valladolid,La Liga,ECU,Midfilder,83,33
"381,000",26,FC Augsburg,Bundesliga,DEN,Defender,142,0
"381,000",22,SC Freiburg,Bundesliga,KOR,Midfilder,111,7
"381,000",18,Benfica,Primiera Liga,POR,Defender,10,0
"381,000",26,VfB Stuttgart,Bundesliga,GER,Forward,225,0
"381,000",26,Brest,Ligue 1 Uber Eats,HON,Forward,204,56
"381,000",23,Eintracht Frankfurt,Bundesliga,BRA,Defender,65,0
"381,000",25,Eintracht Frankfurt,Bundesliga,POR,Defender,135,0
"381,000",26,Eintracht Frankfurt,Bundesliga,JPN,Midfilder,203,19
"381,000",25,VfB Stuttgart,Bundesliga,GER,Defender,166,0
"381,000",25,Valladolid,La Liga,ESP,Midfilder,170,0
"381,000",30,Mallorca,La Liga,ESP,Defender,348,0
"379,000",24,Brianza,Serie A,POR,Forward,150,0
"379,000",29,Cadiz,La Liga,ESP,Defender,305,0
"374,000",22,Valencia,La Liga,ESP,Defender,125,2
"369,000",22,Salento,Serie A,ITA,Defender,56,0
"368,000",34,Cadiz,La Liga,ESP,Midfilder,382,0
"367,000",28,Angers SCO,Ligue 1 Uber Eats,BEN,Defender,210,17
"365,000",26,BRG,Primiera Liga,LBY,Midfilder,120,40
"365,000",22,BRG,Primiera Liga,ESP,Forward,133,2
"364,000",18,Tottenham,Premier League,ENG,Forward,0,0
"364,000",19,Man City,Premier League,NOR,Midfilder,1,0
"364,000",19,Man City,Premier League,ENG,Defender,3,0
"364,000",19,Brentford,Premier League,ENG,Goalkeeper,0,0
"364,000",24,Valencia,La Liga,ESP,Defender,98,0
"364,000",18,Tottenham,Premier League,ENG,Midfilder,0,0
"363,000",22,Torino,Serie A,FRA,Midfilder,52,0
"362,000",22,Brest,Ligue 1 Uber Eats,FRA,Defender,72,0
"362,000",24,Brest,Ligue 1 Uber Eats,FRA,Midfilder,56,0
"362,000",22,Toulouse FC,Ligue 1 Uber Eats,MAR,Forward,118,11
"362,000",26,Brest,Ligue 1 Uber Eats,FRA,Forward,174,0
"361,000",28,AS Monaco,Ligue 1 Uber Eats,CHI,Defender,176,40
"359,000",27,Valladolid,La Liga,ESP,Midfilder,265,0
"359,000",32,AJ Auxerre,Ligue 1 Uber Eats,COM,Midfilder,311,52
"359,000",27,Eintracht Frankfurt,Bundesliga,GER,Defender,224,0
"359,000",19,Montpellier,Ligue 1 Uber Eats,FRA,Forward,57,0
"359,000",22,Valencia,La Liga,ESP,Forward,150,0
"357,000",22,Real Hispalis,La Liga,ESP,Defender,80,1
"356,000",25,Clermont,Ligue 1 Uber Eats,POL,Defender,219,1
"356,000",27,Clermont,Ligue 1 Uber Eats,FRA,Forward,171,0
"356,000",25,Clermont,Ligue 1 Uber Eats,FRA,Defender,90,0
"355,000",30,Almeria,La Liga,ESP,Midfilder,391,0
"355,000",29,Sampdoria,Serie A,GRE,Defender,146,6
"353,000",23,Torino,Serie A,ITA,Defender,72,0
"353,000",32,Cremonese,Serie A,ITA,Midfilder,400,0
"353,000",29,Valladolid,La Liga,ESP,Midfilder,363,0
"353,000",22,Mallorca,La Liga,ESP,Defender,119,0
"353,000",24,Elche,La Liga,FRA,Midfilder,179,0
"352,000",27,Verona,Serie A,ITA,Goalkeeper,125,0
"352,000",19,Verona,Serie A,GHA,Midfilder,5,0
"351,000",26,BRG,Primiera Liga,FRA,Forward,152,0
"349,000",35,OL,Ligue 1 Uber Eats,FRA,Goalkeeper,322,0
"349,000",20,OL,Ligue 1 Uber Eats,FRA,Forward,15,0
"349,000",23,Verona,Serie A,SWE,Defender,119,0
"348,000",27,VfL Bochum,Bundesliga,JPN,Forward,206,36
"347,000",20,Real San Sebastian,La Liga,ESP,Midfilder,61,0
"347,000",34,Valencia,La Liga,ESP,Goalkeeper,311,0
"345,000",20,VfB Stuttgart,Bundesliga,FRA,Midfilder,11,0
"344,000",28,Espanyol,La Liga,ESP,Defender,207,0
"344,000",19,OL,Ligue 1 Uber Eats,FRA,Defender,30,0
"344,000",24,Mainz 05,Bundesliga,GER,Goalkeeper,76,0
"343,000",32,BRG,Primiera Liga,POR,Midfilder,414,17
"343,000",26,FC Nantes,Ligue 1 Uber Eats,COD,Midfilder,104,15
"343,000",27,MRT,Primiera Liga,COL,Forward,207,0
"341,000",35,Hertha Berlin,Bundesliga,GHA,Midfilder,393,15
"341,000",21,Eintracht Frankfurt,Bundesliga,GER,Midfilder,39,0
"340,000",24,Spezia,Serie A,POL,Defender,156,0
"338,000",19,Chelsea,Premier League,ENG,Midfilder,0,0
"338,000",22,RC Lens,Ligue 1 Uber Eats,CMR,Midfilder,56,9
"338,000",29,RC Lens,Ligue 1 Uber Eats,MLI,Defender,186,13
"337,000",33,Getafe,La Liga,ESP,Forward,446,1
"337,000",28,Getafe,La Liga,ARG,Defender,133,0
"336,000",26,Union Berlin,Bundesliga,SRB,Midfilder,186,0
"336,000",24,Montpellier,Ligue 1 Uber Eats,FRA,Defender,122,0
"336,000",20,Verona,Serie A,NED,Forward,6,0
"336,000",27,VfL Bochum,Bundesliga,GER,Midfilder,225,0
"336,000",20,Brentford,Premier League,GER,Forward,51,0
"336,000",29,VfL Bochum,Bundesliga,GER,Forward,315,0
"336,000",30,VfL Bochum,Bundesliga,BRA,Defender,297,0
"336,000",27,Valladolid,La Liga,CAN,Forward,209,52
"336,000",20,Empoli,Serie A,BEL,Defender,22,0
"332,000",25,Atletico Pamplona,La Liga,ESP,Midfilder,264,0
"332,000",26,Verona,Serie A,AUS,Midfilder,128,19
"330,000",29,Angers SCO,Ligue 1 Uber Eats,FRA,Midfilder,217,0
"329,000",23,VfL Bochum,Bundesliga,ENG,Defender,53,0
"328,000",24,Udinese,Serie A,GNB,Forward,152,0
"328,000",23,Fiorentina,Serie A,SRB,Defender,42,5
"328,000",27,Verona,Serie A,POL,Defender,254,8
"328,000",24,FC Lorient,Ligue 1 Uber Eats,FRA,Midfilder,142,0
"325,000",24,Vallecano,La Liga,ESP,Defender,152,0
"325,000",27,Valladolid,La Liga,ESP,Defender,257,0
"325,000",21,LOSC,Ligue 1 Uber Eats,FRA,Defender,76,0
"325,000",20,Villarreal,La Liga,DEN,Goalkeeper,30,0
"325,000",23,Brest,Ligue 1 Uber Eats,MAR,Defender,91,2
"323,000",22,OGC Nice,Ligue 1 Uber Eats,ALG,Forward,62,3
"323,000",20,Hertha Berlin,Bundesliga,GER,Defender,36,0
"321,000",28,BRG,Primiera Liga,POR,Forward,227,0
"320,000",33,Clermont,Ligue 1 Uber Eats,FRA,Defender,356,0
"320,000",25,Clermont,Ligue 1 Uber Eats,BRA,Defender,91,0
"319,000",26,Salento,Serie A,ITA,Goalkeeper,85,0
"319,000",20,Capitoline,Serie A,ITA,Midfilder,13,0
"319,000",22,Salento,Serie A,ITA,Defender,53,0
"319,000",36,Udinese,Serie A,ITA,Goalkeeper,176,0
"319,000",20,Troyes,Ligue 1 Uber Eats,FRA,Midfilder,63,0
"316,000",22,Rennes,Ligue 1 Uber Eats,FRA,Defender,34,0
"315,000",26,Espanyol,La Liga,ESP,Midfilder,225,0
"315,000",28,Vigo,La Liga,POR,Forward,178,2
"315,000",21,Real San Sebastian,La Liga,ESP,Defender,65,0
"315,000",37,AC Ajaccio,Ligue 1 Uber Eats,FRA,Midfilder,480,0
"315,000",28,OL,Ligue 1 Uber Eats,BRA,Defender,142,0
"314,000",22,VfB Stuttgart,Bundesliga,COL,Forward,82,0
"314,000",30,SC Freiburg,Bundesliga,GER,Defender,202,0
"314,000",29,SC Freiburg,Bundesliga,NED,Goalkeeper,175,4
"314,000",22,BVT,Primiera Liga,SVK,Forward,117,25
"314,000",25,FC Nantes,Ligue 1 Uber Eats,ESP,Midfilder,116,0
"312,000",30,Newcastle,Premier League,ENG,Goalkeeper,253,0
"312,000",20,Man City,Premier League,ENG,Forward,7,0
"312,000",18,Man City,Premier League,NED,Goalkeeper,0,0
"312,000",22,Brighton,Premier League,ENG,Goalkeeper,33,0
"312,000",18,Southampton,Premier League,ESP,Defender,0,0
"312,000",25,Strasbourg,Ligue 1 Uber Eats,FRA,Defender,81,0
"311,000",21,A. Bilbao,La Liga,ESP,Goalkeeper,63,0
"310,000",29,VfL Bochum,Bundesliga,POL,Midfilder,271,21
"310,000",26,Brest,Ligue 1 Uber Eats,FRA,Midfilder,201,0
"310,000",36,VfL Bochum,Bundesliga,FRA,Midfilder,536,0
"309,000",25,Brest,Ligue 1 Uber Eats,FRA,Defender,171,0
"309,000",31,AJ Auxerre,Ligue 1 Uber Eats,FRA,Midfilder,336,0
"309,000",24,Montpellier,Ligue 1 Uber Eats,ENG,Forward,155,0
"309,000",28,Brest,Ligue 1 Uber Eats,ALG,Midfilder,264,10
"307,000",21,OGC Nice,Ligue 1 Uber Eats,FRA,Midfilder,55,0
"307,000",21,FC Nantes,Ligue 1 Uber Eats,FRA,Forward,58,0
"304,000",28,Atletico Pamplona,La Liga,ESP,Midfilder,211,0
"303,000",22,Girona,La Liga,ESP,Midfilder,79,0
"303,000",20,P. Ferreira,Primiera Liga,POR,Midfilder,48,0
"302,000",18,Sampdoria,Serie A,TUR,Midfilder,13,0
"302,000",24,AJ Auxerre,Ligue 1 Uber Eats,GHA,Defender,137,11
"302,000",32,Brianza,Serie A,ITA,Defender,274,0
"301,000",26,VfL Bochum,Bundesliga,CGO,Forward,167,18
"301,000",21,Schalke 04,Bundesliga,JPN,Midfilder,29,0
"301,000",24,Union Berlin,Bundesliga,GER,Defender,120,0
"301,000",19,VfB Stuttgart,Bundesliga,GER,Forward,15,0
"301,000",22,Schalke 04,Bundesliga,GER,Defender,79,0
"300,000",24,Real Hispalis,La Liga,CIV,Midfilder,134,4
"300,000",20,Capitoline,Serie A,ITA,Goalkeeper,0,0
"299,000",32,Almeria,La Liga,POR,Forward,240,2
"299,000",24,Almeria,La Liga,FRA,Defender,109,0
"299,000",21,Almeria,La Liga,ESP,Midfilder,37,0
"298,000",32,Strasbourg,Ligue 1 Uber Eats,FRA,Defender,280,0
"298,000",27,Strasbourg,Ligue 1 Uber Eats,UKR,Defender,230,26
"298,000",25,Cadiz,La Liga,ESP,Forward,197,0
"298,000",25,Elche,La Liga,ESP,Midfilder,175,0
"298,000",27,Girona,La Liga,ESP,Midfilder,250,0
"298,000",30,Elche,La Liga,CHI,Defender,287,33
"298,000",29,Mallorca,La Liga,SRB,Defender,208,34
"298,000",29,Elche,La Liga,ESP,Forward,317,0
"298,000",26,Mallorca,La Liga,GHA,Midfilder,205,18
"293,000",23,Estoril Praia,Primiera Liga,FRA,Midfilder,75,0
"293,000",26,Reims,Ligue 1 Uber Eats,ZIM,Midfilder,150,22
"293,000",23,LOSC,Ligue 1 Uber Eats,SWE,Defender,151,0
"292,000",26,BRG,Primiera Liga,BRA,Defender,121,0
"291,000",23,Hertha Berlin,Bundesliga,DEN,Goalkeeper,76,1
"291,000",22,FC Porto,Primiera Liga,ENG,Forward,94,0
"291,000",30,BRG,Primiera Liga,POR,Defender,300,1
"291,000",27,Union Berlin,Bundesliga,GER,Midfilder,200,0
"291,000",41,Reims,Ligue 1 Uber Eats,FRA,Goalkeeper,665,0
"291,000",27,Angers SCO,Ligue 1 Uber Eats,SEN,Midfilder,197,7
"290,000",32,BRG,Primiera Liga,POR,Defender,267,0
"290,000",31,FC Nantes,Ligue 1 Uber Eats,FRA,Defender,359,1
"289,000",25,Toulouse FC,Ligue 1 Uber Eats,CHI,Defender,167,13
"289,000",24,Brest,Ligue 1 Uber Eats,FRA,Forward,109,0
"287,000",23,Angers SCO,Ligue 1 Uber Eats,SEN,Forward,141,0
"287,000",34,FC Lorient,Ligue 1 Uber Eats,ITA,Goalkeeper,219,0
"287,000",29,AJ Auxerre,Ligue 1 Uber Eats,BRA,Defender,191,0
"287,000",26,FC Lorient,Ligue 1 Uber Eats,NGA,Midfilder,132,4
"286,000",25,Espanyol,La Liga,ALB,Midfilder,178,21
"286,000",21,Espanyol,La Liga,ESP,Defender,49,0
"285,000",34,BRG,Primiera Liga,POR,Midfilder,395,0
"284,000",25,Troyes,Ligue 1 Uber Eats,MLI,Defender,122,10
"284,000",21,Troyes,Ligue 1 Uber Eats,FRA,Defender,17,0
"284,000",21,Clermont,Ligue 1 Uber Eats,AUT,Midfilder,73,0
"282,000",23,Girona,La Liga,ARG,Forward,127,0
"282,000",19,Empoli,Serie A,ITA,Midfilder,0,0
"281,000",24,Valencia,La Liga,ESP,Goalkeeper,83,0
"280,000",30,AJ Auxerre,Ligue 1 Uber Eats,MLI,Midfilder,303,10
"280,000",28,FC Porto,Primiera Liga,POR,Defender,217,0
"280,000",30,FC Porto,Primiera Liga,POR,Goalkeeper,267,1
"280,000",25,AC Ajaccio,Ligue 1 Uber Eats,FRA,Midfilder,140,0
"280,000",24,AC Ajaccio,Ligue 1 Uber Eats,CMR,Defender,145,0
"279,000",25,Reims,Ligue 1 Uber Eats,CIV,Defender,76,2
"278,000",25,Casa Pia,Primiera Liga,JPN,Defender,199,6
"276,000",24,Spezia,Serie A,ESP,Defender,125,0
"276,000",28,Santa Clara,Primiera Liga,GNB,Defender,202,19
"276,000",19,Sporting CP,Primiera Liga,ARG,Midfilder,34,0
"276,000",19,Sporting CP,Primiera Liga,POR,Forward,35,0
"274,000",24,SV Werder,Bundesliga,GER,Midfilder,171,0
"273,000",24,1. FC Koln,Bundesliga,GER,Forward,121,0
"272,000",26,AJ Auxerre,Ligue 1 Uber Eats,FRA,Forward,139,0
"270,000",25,RC Lens,Ligue 1 Uber Eats,FRA,Defender,138,0
"270,000",27,Clermont,Ligue 1 Uber Eats,GAB,Midfilder,185,17
"270,000",21,Girona,La Liga,ESP,Defender,45,0
"270,000",31,Vallecano,La Liga,ESP,Midfilder,375,0
"270,000",27,Elche,La Liga,ESP,Midfilder,277,0
"270,000",28,Valladolid,La Liga,URU,Defender,202,0
"269,000",18,Borussia Dortmund,Bundesliga,ENG,Forward,7,0
"269,000",20,1. FC Koln,Bundesliga,GER,Forward,48,0
"269,000",24,Valladolid,La Liga,CMR,Midfilder,120,17
"269,000",34,VfL Bochum,Bundesliga,GER,Goalkeeper,211,0
"269,000",31,RB Leipzig,Bundesliga,NOR,Goalkeeper,210,38
"269,000",27,Clermont,Ligue 1 Uber Eats,TUN,Forward,157,27
"269,000",24,VfL Bochum,Bundesliga,SWE,Goalkeeper,128,0
"269,000",24,VfB Stuttgart,Bundesliga,GER,Goalkeeper,135,0
"269,000",26,Empoli,Serie A,NGA,Defender,136,10
"269,000",26,Salernitana,Serie A,SVN,Midfilder,269,24
"268,000",23,Strasbourg,Ligue 1 Uber Eats,FRA,Defender,48,0
"264,000",29,Cadiz,La Liga,ESP,Defender,313,0
"264,000",27,Cadiz,La Liga,ESP,Forward,183,0
"263,000",32,Almeria,La Liga,ESP,Goalkeeper,236,0
"262,000",18,Empoli,Serie A,POL,Midfilder,27,0
"261,000",33,Valladolid,La Liga,ESP,Goalkeeper,268,0
"261,000",26,Valladolid,La Liga,ESP,Midfilder,160,0
"260,000",38,Everton,Premier League,ENG,Goalkeeper,346,0
"260,000",25,Troyes,Ligue 1 Uber Eats,POL,Goalkeeper,165,0
"260,000",19,Arsenal,Premier League,ROU,Midfilder,23,0
"260,000",18,Wolves,Premier League,JAM,Defender,1,0
"260,000",19,Wolves,Premier League,ESP,Defender,0,0
"260,000",20,Man UFC,Premier League,ENG,Defender,18,0
"260,000",18,Man City,Premier League,NIR,Defender,2,4
"260,000",18,Arsenal,Premier League,ENG,Forward,2,0
"260,000",18,Crystal Palace,Premier League,IRL,Defender,0,0
"260,000",19,Southampton,Premier League,ENG,Forward,0,0
"260,000",18,Leeds,Premier League,ENG,Midfilder,1,0
"260,000",21,AJ Auxerre,Ligue 1 Uber Eats,FRA,Midfilder,98,0
"260,000",20,Girona,La Liga,BRA,Defender,55,0
"260,000",22,Man UFC,Premier League,ENG,Goalkeeper,77,0
"260,000",19,Chelsea,Premier League,NOR,Forward,33,0
"260,000",20,Newcastle,Premier League,SCO,Defender,1,0
"260,000",20,Aston Villa,Premier League,FIN,Goalkeeper,22,0
"260,000",20,West Ham,Premier League,IRL,Midfilder,17,0
"260,000",20,Nottm Forest,Premier League,USA,Forward,65,0
"260,000",19,Wolves,Premier League,ENG,Defender,47,0
"260,000",22,SV Werder,Bundesliga,AUT,Forward,155,0
"259,000",27,Clermont,Ligue 1 Uber Eats,SRB,Forward,190,0
"258,000",23,FC Lorient,Ligue 1 Uber Eats,CIV,Midfilder,93,0
"258,000",20,FC Lorient,Ligue 1 Uber Eats,FRA,Midfilder,72,0
"258,000",26,FC Lorient,Ligue 1 Uber Eats,BRA,Defender,139,0
"258,000",29,AJ Auxerre,Ligue 1 Uber Eats,FRA,Defender,214,0
"258,000",31,AJ Auxerre,Ligue 1 Uber Eats,CPV,Forward,246,3
"258,000",33,VTSC,Primiera Liga,POR,Midfilder,336,4
"258,000",18,Sporting CP,Primiera Liga,GHA,Midfilder,7,12
"258,000",33,Eintracht Frankfurt,Bundesliga,GER,Goalkeeper,162,0
"258,000",30,Brest,Ligue 1 Uber Eats,FRA,Defender,243,0
"257,000",22,Espanyol,La Liga,ESP,Midfilder,147,0
"257,000",24,Espanyol,La Liga,ESP,Forward,144,1
"256,000",20,AS Monaco,Ligue 1 Uber Eats,BEL,Midfilder,30,0
"255,000",26,FC Nantes,Ligue 1 Uber Eats,FRA,Midfilder,193,0
"255,000",26,Troyes,Ligue 1 Uber Eats,GNB,Midfilder,198,17
"254,000",25,Empoli,Serie A,ITA,Goalkeeper,89,0
"252,000",26,AC Ajaccio,Ligue 1 Uber Eats,CGO,Defender,115,16
"252,000",26,AC Ajaccio,Ligue 1 Uber Eats,BFA,Forward,194,39
"251,000",25,Montpellier,Ligue 1 Uber Eats,SEN,Goalkeeper,118,2
"250,000",21,Empoli,Serie A,NZL,Defender,133,12
"248,000",23,Union Berlin,Bundesliga,POR,Defender,106,0
"247,000",20,Atletico Pamplona,La Liga,ESP,Forward,101,0
"247,000",23,1. FC Koln,Bundesliga,GER,Defender,95,0
"247,000",22,FC Porto,Primiera Liga,POR,Defender,68,0
"247,000",37,FC Porto,Primiera Liga,POR,Forward,445,27
"244,000",30,AJ Auxerre,Ligue 1 Uber Eats,GUI,Defender,169,6
"244,000",23,Almeria,La Liga,ESP,Defender,81,0
"244,000",20,Almeria,La Liga,BRA,Midfilder,31,0
"242,000",31,Vallecano,La Liga,MNE,Defender,221,4
"242,000",30,Girona,La Liga,PER,Defender,320,35
"242,000",35,Vallecano,La Liga,ESP,Defender,438,3
"242,000",27,Elche,La Liga,ESP,Defender,246,0
"242,000",25,Girona,La Liga,ESP,Midfilder,177,0
"241,000",31,Verona,Serie A,ITA,Goalkeeper,85,0
"241,000",39,Inter,Serie A,ITA,Goalkeeper,482,0
"241,000",25,Salento,Serie A,FRA,Midfilder,200,0
"241,000",24,Sassuolo,Serie A,CRO,Defender,111,3
"241,000",29,Bayer 04,Bundesliga,GER,Goalkeeper,126,0
"240,000",23,Famalicao,Primiera Liga,FRA,Midfilder,100,0
"237,000",22,OGC Nice,Ligue 1 Uber Eats,POL,Goalkeeper,16,0
"237,000",26,AJ Auxerre,Ligue 1 Uber Eats,MAR,Midfilder,207,0
"236,000",20,SC Freiburg,Bundesliga,FRA,Defender,65,0
"234,000",23,PTM,Primiera Liga,COL,Forward,105,0
"234,000",22,Atletico Pamplona,La Liga,ESP,Defender,84,0
"233,000",22,Rennes,Ligue 1 Uber Eats,FRA,Defender,34,0
"232,000",25,Santa Clara,Primiera Liga,BRA,Forward,60,0
"232,000",19,A. Madrid,La Liga,ESP,Midfilder,3,0
"231,000",24,Toulouse FC,Ligue 1 Uber Eats,NOR,Goalkeeper,75,0
"230,000",28,AJ Auxerre,Ligue 1 Uber Eats,FRA,Defender,110,0
"229,000",19,BRG,Primiera Liga,TUR,Defender,11,0
"228,000",20,Troyes,Ligue 1 Uber Eats,FRA,Defender,33,0
"227,000",22,Vigo,La Liga,NOR,Forward,125,1
"227,000",19,Fiorentina,Serie A,ITA,Midfilder,4,0
"225,000",22,Famalicao,Primiera Liga,POR,Forward,64,0
"225,000",21,Salento,Serie A,ISL,Midfilder,82,12
"224,000",26,SC Freiburg,Bundesliga,GHA,Midfilder,187,12
"224,000",24,Sassuolo,Serie A,MAR,Midfilder,164,0
"224,000",25,Famalicao,Primiera Liga,ARG,Midfilder,167,0
"224,000",20,FC Augsburg,Bundesliga,CRO,Forward,93,0
"224,000",31,RB Leipzig,Bundesliga,GER,Goalkeeper,296,0
"224,000",24,SV Werder,Bundesliga,GER,Defender,136,0
"224,000",26,Toulouse FC,Ligue 1 Uber Eats,NED,Midfilder,193,0
"224,000",21,Rennes,Ligue 1 Uber Eats,MAR,Forward,16,0
"224,000",23,Reims,Ligue 1 Uber Eats,FRA,Forward,80,0
"224,000",22,Hoffenheim,Bundesliga,GER,Midfilder,88,0
"224,000",30,Troyes,Ligue 1 Uber Eats,FRA,Midfilder,314,0
"224,000",23,Reims,Ligue 1 Uber Eats,NED,Midfilder,153,0
"224,000",21,Torino,Serie A,SRB,Midfilder,104,3
"224,000",21,Torino,Serie A,CIV,Defender,72,2
"224,000",20,1. FC Koln,Bundesliga,GER,Midfilder,56,0
"224,000",23,Montpellier,Ligue 1 Uber Eats,FRA,Defender,54,0
"224,000",39,Strasbourg,Ligue 1 Uber Eats,JPN,Goalkeeper,397,95
"223,000",28,Union Berlin,Bundesliga,DEN,Goalkeeper,92,0
"223,000",27,Chaves,Primiera Liga,POR,Defender,116,0
"220,000",22,Angers SCO,Ligue 1 Uber Eats,FRA,Goalkeeper,38,0
"220,000",22,Reims,Ligue 1 Uber Eats,FRA,Forward,43,0
"218,000",31,Valladolid,La Liga,ESP,Forward,415,0
"217,000",21,FC Porto,Primiera Liga,POR,Forward,63,0
"217,000",30,Brest,Ligue 1 Uber Eats,FRA,Defender,306,0
"217,000",26,Toulouse FC,Ligue 1 Uber Eats,JPN,Forward,226,3
"217,000",27,Angers SCO,Ligue 1 Uber Eats,ALG,Defender,86,9
"216,000",32,Almeria,La Liga,ESP,Forward,326,0
"215,000",24,AJ Auxerre,Ligue 1 Uber Eats,GHA,Midfilder,117,2
"215,000",21,Mainz 05,Bundesliga,AUT,Forward,73,0
"215,000",26,1. FC Koln,Bundesliga,GER,Defender,104,0
"215,000",18,VfL Wolfsburg,Bundesliga,CZE,Midfilder,3,0
